Дата,Группа аллергенов,Пыльца и споры,"Концентрация, ед/1 м3",Комментарий
18.05.12,Лиственные деревья,Береза,30,Занос пыльцы из северных территорий и предгорий Кавказа
18.05.12,Хвойные деревья,Сосна,50,Пик светения сосны
18.05.12,Злаки,Злаки,350,Массовое цветение цлакоывх трав
18.05.12,Сорняки,Щавель,10,Цветение заканчивается
18.05.12,Сорняки,Крапива,12,Активное цветение
14.05.12,Лиственные деревья,Береза,20,
14.05.12,Лиственные деревья,Ива,8,
14.05.12,Лиственные деревья,Дуб,30,"Цветение закончилось но пыльца в воздухе циркулирует, в ближайшее время"
14.05.12,Хвойные деревья,Сосна,40,Концентрация будет нарастать
14.05.12,Злаки,Злаки,350,АКтивное пыление
14.05.12,Сорняки,Подорожник,8,Появились первые пыльцевые зерна
14.05.12,Сорняки,Щавель,30,
14.05.12,Сорняки,Крапива,120,Активное пыление
10.05.12,Лиственные деревья,Береза,20,концентрация уменьшается
10.05.12,Лиственные деревья,Дуб,120,пик цветение
10.05.12,Хвойные деревья,Ель,20,"Цветение начинается , ожидается увеличение концентрации"
10.05.12,Хвойные деревья,Сосна,12,началась цветение
10.05.12,Злаки,Злаки,450,концентрация будет расти
10.05.12,Сорняки,Щавель,30,
10.05.12,Сорняки,Крапива,42,
08.05.12,Лиственные деревья,Береза,80,Занос пыльца из других регионов. Концентрация пыльцы будет падать
08.05.12,Лиственные деревья,Ива,40,Пыление заканчивается
08.05.12,Лиственные деревья,Дуб,70,Пик цветения
08.05.12,Хвойные деревья,Ель,20,Началось пыление
08.05.12,Злаки,Злаки,320,"Активное цветение, концентрация пыльцы будет нарастать"
08.05.12,Сорняки,Маревые,2,Единичные пыльцевые зерна
08.05.12,Сорняки,Щавель,30,
08.05.12,Сорняки,Крапива,12,Началась цветение
04.05.12,Лиственные деревья,Береза,420,"Массовое цветение березы в регионе КМВ закончилось, занос пыльцы из предгорий Главного Кавказского хребта. Концентрация пыльцы остается высокой."
04.05.12,Лиственные деревья,Клен,40,Цветение закончивается
04.05.12,Лиственные деревья,Ясень,12,Цветение заканчивается
04.05.12,Лиственные деревья,Ива,20,
04.05.12,Лиственные деревья,Дуб,120,Идет активное пыление
04.05.12,Злаки,Злаки,130,"Впервые такая высокая концентрация пыльцы, ожидается дальнейший рост."
04.05.12,Сорняки,Щавель,55,Цветет щавель концентрация будет увеличиваться
30.04.12,Лиственные деревья,Береза,340,
30.04.12,Лиственные деревья,Ива,130,Пик цветения в ближайшее время концентрация будет падать
30.04.12,Лиственные деревья,Дуб,140,
30.04.12,Злаки,Злаки,12,концентрация будет нарастать
30.04.12,Сорняки,Щавель,330,
27.04.12,Лиственные деревья,Береза,430,
27.04.12,Лиственные деревья,Вяз,80,
27.04.12,Лиственные деревья,Ясень,50,
27.04.12,Лиственные деревья,Ива,230,
24.04.12,Лиственные деревья,Береза,250,концентрация высокая
24.04.12,Лиственные деревья,Вяз,150,
24.04.12,Лиственные деревья,Ива,200,пик цветения
24.04.12,Лиственные деревья,Дуб,120,появилась пыльца дуба
24.04.12,Злаки,Злаки,3,проявились первые пыльцевые зерна злаков в ближайшее времяконцентрация будет нарастать
24.04.12,Сорняки,Щавель,230,высокая концентрация
23.04.12,Лиственные деревья,Ольха,4,цветение закончилось
23.04.12,Лиственные деревья,Орешник,5,"единичные пыльцевые зерна, занос пыльцы из предгорий"
23.04.12,Лиственные деревья,Тополь,3,цветение закончилось
23.04.12,Лиственные деревья,Береза,230,Пик цветения березы
23.04.12,Лиственные деревья,Ива,120,Цветет ива
20.04.12,Лиственные деревья,Ольха,20,Цветение заканчивается
20.04.12,Лиственные деревья,Орешник,10,Концентрация пыльцы снижается
20.04.12,Лиственные деревья,Тополь,120,концентрация пыльцы нарастает
20.04.12,Лиственные деревья,Береза,350,Пик цветения
20.04.12,Лиственные деревья,Клен,30,
20.04.12,Лиственные деревья,Вяз,50,
20.04.12,Лиственные деревья,Ясень,4,
20.04.12,Лиственные деревья,Ива,200,Пикцветения
18.04.12,Лиственные деревья,--Название--,0,
12.04.12,Лиственные деревья,Ольха,240,
12.04.12,Лиственные деревья,Орешник,36,
12.04.12,Лиственные деревья,Вяз,24,
12.04.12,Лиственные деревья,Ясень,18,
12.04.12,Лиственные деревья,Ива,12,
23.09.11,Злаки,Злаки,30,
23.09.11,Сорняки,Полынь,30,
23.09.11,Сорняки,Амброзия,420,
21.09.11,Злаки,Злаки,90,
21.09.11,Сорняки,Полынь,30,
21.09.11,Сорняки,Амброзия,310,
21.09.11,Грибы,Кладоспориум,1200,активное спороношение
21.09.11,Грибы,Альтернария,790,
19.09.11,Сорняки,Маревые,10,
19.09.11,Сорняки,Полынь,50,
19.09.11,Сорняки,Амброзия,1310,
16.09.11,Сорняки,Маревые,20,
16.09.11,Сорняки,Полынь,150,
16.09.11,Сорняки,Амброзия,360,
14.09.11,Сорняки,Маревые,20,
14.09.11,Сорняки,Полынь,210,
14.09.11,Сорняки,Амброзия,3330,
12.09.11,Сорняки,Маревые,20,
12.09.11,Сорняки,Полынь,40,
12.09.11,Сорняки,Амброзия,2190,
09.09.11,Сорняки,Маревые,20,
09.09.11,Сорняки,Полынь,140,
09.09.11,Сорняки,Амброзия,2820,Пик цветения амброзии
09.09.11,Грибы,Кладоспориум,2300,
09.09.11,Грибы,Альтернария,1240,
07.09.11,Сорняки,Маревые,30,
07.09.11,Сорняки,Полынь,190,
07.09.11,Сорняки,Амброзия,350,
07.09.11,Грибы,Альтернария,890,
05.09.11,Сорняки,Маревые,70,
05.09.11,Сорняки,Полынь,170,
05.09.11,Сорняки,Амброзия,290,
05.09.11,Грибы,Кладоспориум,2000,
05.09.11,Грибы,Альтернария,670,
02.09.11,Сорняки,Маревые,230,
02.09.11,Сорняки,Полынь,450,
02.09.11,Сорняки,Амброзия,1290,Концентация снизилась из-за сильных дождей и града
31.08.11,Злаки,Злаки,30,
31.08.11,Сорняки,Маревые,170,
31.08.11,Сорняки,Подорожник,12,
31.08.11,Сорняки,Полынь,890,
31.08.11,Сорняки,Амброзия,1450,
31.08.11,Грибы,Кладоспориум,560,
31.08.11,Грибы,Альтернария,670,спороношение слабое
29.08.11,Сорняки,Полынь,1010,
29.08.11,Сорняки,Амброзия,2340,
29.08.11,Грибы,Кладоспориум,1300,
29.08.11,Грибы,Альтернария,340,
26.08.11,Сорняки,Маревые,120,
26.08.11,Сорняки,Полынь,870,
26.08.11,Сорняки,Амброзия,2010,
24.08.11,Хвойные деревья,Сосна,4,
24.08.11,Злаки,Злаки,12,
24.08.11,Сорняки,Маревые,780,
24.08.11,Сорняки,Подорожник,8,
24.08.11,Сорняки,Крапива,34,
24.08.11,Сорняки,Полынь,860,
24.08.11,Сорняки,Амброзия,1340,
24.08.11,Грибы,Кладоспориум,890,
24.08.11,Грибы,Альтернария,690,
22.08.11,Злаки,Злаки,40,занос пыльцы из предгорий Кавказского хребта
22.08.11,Сорняки,Маревые,120,
22.08.11,Сорняки,Подорожник,12,
22.08.11,Сорняки,Крапива,9,
22.08.11,Сорняки,Полынь,340,
22.08.11,Сорняки,Амброзия,560,
22.08.11,Грибы,Кладоспориум,780,концентрация низкая
22.08.11,Грибы,Альтернария,350,
19.08.11,Сорняки,Полынь,1230,
19.08.11,Сорняки,Амброзия,780,
17.08.11,Злаки,Злаки,12,
17.08.11,Сорняки,Маревые,136,
17.08.11,Сорняки,Полынь,450,
15.08.11,Сорняки,Маревые,80,
15.08.11,Сорняки,Полынь,478,
15.08.11,Сорняки,Амброзия,810,
12.08.11,Сорняки,Маревые,340,
12.08.11,Сорняки,Полынь,230,
10.08.11,Злаки,Злаки,30,
10.08.11,Сорняки,Маревые,130,
10.08.11,Сорняки,Полынь,340,
10.08.11,Сорняки,Амброзия,560,
08.08.11,Сорняки,Маревые,180,
08.08.11,Сорняки,Полынь,230,
08.08.11,Сорняки,Амброзия,150,
08.08.11,Грибы,Кладоспориум,120,слабое спороношение
08.08.11,Грибы,Альтернария,1680,
03.08.11,Хвойные деревья,Сосна,2,
03.08.11,Злаки,Злаки,20,
03.08.11,Сорняки,Маревые,120,
03.08.11,Сорняки,Полынь,170,
03.08.11,Сорняки,Амброзия,230,
02.08.11,Злаки,Злаки,40,
02.08.11,Сорняки,Маревые,30,
02.08.11,Сорняки,Полынь,410,
02.08.11,Сорняки,Амброзия,140,
01.08.11,Сорняки,Полынь,420,
01.08.11,Сорняки,Амброзия,70,появилась пыльца амброзии
30.07.11,Хвойные деревья,Сосна,30,
30.07.11,Сорняки,Полынь,480,
29.07.11,Злаки,Злаки,40,
28.07.11,Злаки,Злаки,60,
28.07.11,Сорняки,Полынь,340,
25.07.11,Злаки,Злаки,80,
25.07.11,Сорняки,Полынь,200,
22.07.11,Злаки,Злаки,120,
22.07.11,Сорняки,Полынь,60,
21.07.11,Хвойные деревья,Сосна,2,ззанос пыльцы из предгорий
21.07.11,Злаки,Злаки,140,
21.07.11,Сорняки,Маревые,20,
21.07.11,Сорняки,Полынь,300,
21.07.11,Грибы,Кладоспориум,1000,
19.07.11,Злаки,Злаки,30,
19.07.11,Сорняки,Маревые,120,
19.07.11,Сорняки,Полынь,12,
18.07.11,Злаки,Злаки,20,
18.07.11,Сорняки,Маревые,140,
18.07.11,Сорняки,Подорожник,10,
18.07.11,Сорняки,Крапива,30,
18.07.11,Сорняки,Полынь,23,
18.07.11,Грибы,Кладоспориум,2300,Спорообразование активное
18.07.11,Грибы,Альтернария,1130,
14.07.11,Злаки,Злаки,230,
14.07.11,Сорняки,Маревые,110,
14.07.11,Сорняки,Крапива,60,
14.07.11,Сорняки,Полынь,60,
11.07.11,Лиственные деревья,Липа,30,
11.07.11,Злаки,Злаки,200,
11.07.11,Сорняки,Маревые,60,
11.07.11,Сорняки,Крапива,30,
11.07.11,Сорняки,Полынь,20,
11.07.11,Сорняки,Амброзия,6,
08.07.11,Злаки,Злаки,60,
08.07.11,Сорняки,Маревые,18,
08.07.11,Сорняки,Крапива,40,
08.07.11,Сорняки,Полынь,20,
08.07.11,Сорняки,Амброзия,8,Появились первые пыльцевые зерна
07.07.11,Лиственные деревья,Липа,20,
07.07.11,Хвойные деревья,Сосна,8,
07.07.11,Злаки,Злаки,80,
07.07.11,Сорняки,Маревые,30,
07.07.11,Сорняки,Крапива,34,
07.07.11,Сорняки,Полынь,70,
07.07.11,Сорняки,Амброзия,3,
05.07.11,Лиственные деревья,Липа,20,
05.07.11,Хвойные деревья,Сосна,10,занос пыльцы из предгорий
05.07.11,Злаки,Злаки,670,Пик цветения
05.07.11,Сорняки,Маревые,35,
05.07.11,Сорняки,Подорожник,18,
05.07.11,Сорняки,Полынь,40,
05.07.11,Грибы,Кладоспориум,1300,
05.07.11,Грибы,Альтернария,340,
04.07.11,Злаки,Злаки,560,
04.07.11,Сорняки,Подорожник,50,
04.07.11,Сорняки,Полынь,60,
04.07.11,Грибы,Кладоспориум,400,
04.07.11,Грибы,Альтернария,780,
01.07.11,Лиственные деревья,Липа,60,
01.07.11,Хвойные деревья,Сосна,10,
01.07.11,Злаки,Злаки,780,
01.07.11,Сорняки,Маревые,120,
01.07.11,Сорняки,Подорожник,30,
01.07.11,Грибы,Кладоспориум,1200,
01.07.11,Грибы,Альтернария,900,
29.06.11,Злаки,Злаки,780,
29.06.11,Сорняки,Маревые,560,
29.06.11,Сорняки,Подорожник,180,
29.06.11,Сорняки,Полынь,120,
27.06.11,Лиственные деревья,Липа,20,
27.06.11,Злаки,Злаки,340,
27.06.11,Сорняки,Маревые,50,
27.06.11,Сорняки,Подорожник,180,
27.06.11,Сорняки,Полынь,36,
27.06.11,Грибы,Кладоспориум,1500,увеличилось спороношение
27.06.11,Грибы,Альтернария,230,
23.06.11,Хвойные деревья,Сосна,18,
23.06.11,Злаки,Злаки,600,
22.06.11,Злаки,Злаки,500,
22.06.11,Сорняки,Подорожник,30,
22.06.11,Сорняки,Полынь,10,
20.06.11,Лиственные деревья,Тополь,2,занос пыльцы из предгорий
20.06.11,Хвойные деревья,Сосна,30,
20.06.11,Злаки,Злаки,300,Пик сезона. Концентрация низкая из-за дождливой погоды
20.06.11,Сорняки,Подорожник,30,
17.06.11,Лиственные деревья,Дуб,18,
17.06.11,Лиственные деревья,Липа,56,
17.06.11,Хвойные деревья,Сосна,21,
17.06.11,Злаки,Злаки,560,
17.06.11,Сорняки,Маревые,8,
17.06.11,Сорняки,Подорожник,10,
17.06.11,Сорняки,Щавель,12,
17.06.11,Сорняки,Крапива,46,
17.06.11,Сорняки,Полынь,18,
17.06.11,Грибы,Кладоспориум,450,
17.06.11,Грибы,Альтернария,180,
16.06.11,Лиственные деревья,Береза,9,
16.06.11,Лиственные деревья,Дуб,10,
16.06.11,Лиственные деревья,Липа,80,
16.06.11,Хвойные деревья,Сосна,36,
16.06.11,Злаки,Злаки,340,
16.06.11,Сорняки,Маревые,18,
15.06.11,Лиственные деревья,Липа,18,
15.06.11,Хвойные деревья,Сосна,9,
15.06.11,Злаки,Злаки,80,
15.06.11,Сорняки,Крапива,36,
14.06.11,Лиственные деревья,Береза,12,
14.06.11,Лиственные деревья,Дуб,10,
14.06.11,Лиственные деревья,Липа,50,
14.06.11,Хвойные деревья,Сосна,40,
14.06.11,Злаки,Злаки,320,
14.06.11,Сорняки,Маревые,20,
14.06.11,Сорняки,Подорожник,34,
14.06.11,Сорняки,Щавель,14,
14.06.11,Сорняки,Крапива,64,
14.06.11,Сорняки,Полынь,26,
14.06.11,Грибы,Кладоспориум,230,
14.06.11,Грибы,Альтернария,180,
10.06.11,Лиственные деревья,Береза,10,
10.06.11,Хвойные деревья,Ель,4,
10.06.11,Хвойные деревья,Сосна,220,
10.06.11,Сорняки,Маревые,40,
10.06.11,Сорняки,Подорожник,12,
09.06.11,Лиственные деревья,Береза,2,
09.06.11,Хвойные деревья,Ель,2,
09.06.11,Хвойные деревья,Сосна,50,
09.06.11,Злаки,Злаки,140,
09.06.11,Сорняки,Маревые,30,
09.06.11,Сорняки,Подорожник,20,
07.06.11,Лиственные деревья,Липа,20,
07.06.11,Хвойные деревья,Сосна,12,
07.06.11,Злаки,Злаки,790,
07.06.11,Сорняки,Маревые,50,
07.06.11,Сорняки,Подорожник,50,
07.06.11,Сорняки,Крапива,40,
06.06.11,Хвойные деревья,Сосна,12,
06.06.11,Злаки,Злаки,180,
06.06.11,Сорняки,Маревые,50,
06.06.11,Сорняки,Подорожник,50,
03.06.11,Лиственные деревья,Липа,30,
03.06.11,Злаки,Злаки,120,
03.06.11,Сорняки,Крапива,10,
02.06.11,Злаки,Злаки,640,
02.06.11,Грибы,Кладоспориум,800,
01.06.11,Лиственные деревья,Липа,100,
01.06.11,Хвойные деревья,Сосна,80,
01.06.11,Злаки,Злаки,420,
01.06.11,Сорняки,Маревые,30,
01.06.11,Сорняки,Подорожник,20,
01.06.11,Сорняки,Крапива,40,
30.05.11,Лиственные деревья,Дуб,30,
30.05.11,Хвойные деревья,Сосна,70,
30.05.11,Злаки,Злаки,230,
30.05.11,Сорняки,Крапива,30,
27.05.11,Лиственные деревья,Ольха,1,
27.05.11,Лиственные деревья,Береза,10,
27.05.11,Хвойные деревья,Сосна,34,
27.05.11,Злаки,Злаки,120,
27.05.11,Сорняки,Маревые,50,
27.05.11,Сорняки,Подорожник,30,
27.05.11,Сорняки,Крапива,40,
26.05.11,Лиственные деревья,Ольха,2,Занос пыльцы из предгорий
26.05.11,Лиственные деревья,Береза,20,
26.05.11,Лиственные деревья,Дуб,10,
25.05.11,Злаки,Злаки,160,
25.05.11,Сорняки,Маревые,140,
25.05.11,Сорняки,Крапива,60,
24.05.11,Злаки,Злаки,240,
24.05.11,Сорняки,Маревые,80,
24.05.11,Сорняки,Крапива,100,
23.05.11,Лиственные деревья,Тополь,3,
23.05.11,Злаки,Злаки,200,
23.05.11,Сорняки,Маревые,100,
23.05.11,Сорняки,Крапива,140,
22.05.11,Лиственные деревья,Тополь,60,Занос пыльцы из других регионов
22.05.11,Лиственные деревья,Береза,4,
22.05.11,Лиственные деревья,Ива,70,
22.05.11,Лиственные деревья,Дуб,40,
22.05.11,Злаки,Злаки,140,
22.05.11,Сорняки,Маревые,50,
22.05.11,Сорняки,Щавель,20,
22.05.11,Сорняки,Крапива,12,
21.05.11,Лиственные деревья,Тополь,10,Занос пыльцы из предгорий
21.05.11,Лиственные деревья,Береза,8,Занос пыльцы из предгорий
21.05.11,Лиственные деревья,Ива,10,
21.05.11,Лиственные деревья,Дуб,20,
21.05.11,Хвойные деревья,Ель,12,
21.05.11,Хвойные деревья,Сосна,18,
21.05.11,Злаки,Злаки,40,
21.05.11,Сорняки,Маревые,100,
21.05.11,Сорняки,Щавель,20,
21.05.11,Грибы,Кладоспориум,120,
20.05.11,Лиственные деревья,Тополь,10,
20.05.11,Лиственные деревья,Береза,40,
20.05.11,Лиственные деревья,Клен,3,
20.05.11,Лиственные деревья,Ива,40,
20.05.11,Лиственные деревья,Дуб,140,
20.05.11,Хвойные деревья,Ель,20,
20.05.11,Злаки,Злаки,80,
20.05.11,Сорняки,Маревые,18,
20.05.11,Сорняки,Подорожник,10,
20.05.11,Сорняки,Щавель,4,
20.05.11,Сорняки,Крапива,60,
19.05.11,Лиственные деревья,Береза,80,
19.05.11,Лиственные деревья,Клен,40,
19.05.11,Лиственные деревья,Ива,60,
19.05.11,Злаки,Злаки,120,
19.05.11,Сорняки,Маревые,180,
19.05.11,Сорняки,Крапива,30,
18.05.11,Лиственные деревья,Тополь,22,
18.05.11,Лиственные деревья,Береза,16,
18.05.11,Лиственные деревья,Клен,6,
18.05.11,Лиственные деревья,Ива,16,
18.05.11,Злаки,Злаки,280,
18.05.11,Сорняки,Маревые,20,
18.05.11,Сорняки,Подорожник,10,
18.05.11,Сорняки,Щавель,20,
18.05.11,Сорняки,Крапива,140,Увеличивается концентрация пыльцы крапивы
17.05.11,Лиственные деревья,Береза,70,
17.05.11,Лиственные деревья,Дуб,70,
17.05.11,Хвойные деревья,Сосна,120,
17.05.11,Злаки,Злаки,66,
17.05.11,Грибы,Кладоспориум,340,
17.05.11,Грибы,Альтернария,120,
16.05.11,Лиственные деревья,Тополь,10,
16.05.11,Лиственные деревья,Береза,30,
16.05.11,Лиственные деревья,Ива,50,
16.05.11,Лиственные деревья,Дуб,12,
16.05.11,Хвойные деревья,Ель,50,
16.05.11,Злаки,Злаки,30,
16.05.11,Сорняки,Подорожник,80,
16.05.11,Сорняки,Крапива,66,
14.05.11,Лиственные деревья,Береза,50,занос пыльцы из предгорий
14.05.11,Лиственные деревья,Ива,30,
14.05.11,Лиственные деревья,Дуб,50,
14.05.11,Хвойные деревья,Ель,10,
14.05.11,Хвойные деревья,Сосна,60,
14.05.11,Злаки,Злаки,70,
14.05.11,Сорняки,Подорожник,80,
14.05.11,Сорняки,Крапива,10,
14.05.11,Грибы,Кладоспориум,240,слабое спорообразование
14.05.11,Грибы,Альтернария,300,
13.05.11,Лиственные деревья,Тополь,20,"Цветение закончилось, занос пыльцы из предгорий"
13.05.11,Лиственные деревья,Береза,80,Цветение заканчивается
13.05.11,Лиственные деревья,Ива,120,
13.05.11,Лиственные деревья,Дуб,70,Пик цветения пройден
13.05.11,Хвойные деревья,Ель,250,Концентация пыльцы увеличивается
13.05.11,Хвойные деревья,Сосна,80,Появилась впервые пыльца сосны
13.05.11,Злаки,Злаки,60,
13.05.11,Сорняки,Подорожник,70,
13.05.11,Сорняки,Крапива,12,"Началось цветение крапивы,ожидается увеличесние концентрации"
13.05.11,Грибы,Кладоспориум,300,
12.05.11,Лиственные деревья,Тополь,30,
12.05.11,Лиственные деревья,Береза,350,
12.05.11,Лиственные деревья,Ива,20,
12.05.11,Лиственные деревья,Дуб,80,
12.05.11,Сорняки,Подорожник,70,
11.05.11,Лиственные деревья,Тополь,240,
11.05.11,Лиственные деревья,Береза,300,
11.05.11,Лиственные деревья,Дуб,60,
11.05.11,Сорняки,Подорожник,200,
09.05.11,Лиственные деревья,Тополь,200,
09.05.11,Лиственные деревья,Береза,440,
09.05.11,Лиственные деревья,Дуб,160,
09.05.11,Сорняки,Подорожник,300,
08.05.11,Лиственные деревья,Тополь,160,
08.05.11,Лиственные деревья,Береза,400,
08.05.11,Лиственные деревья,Ива,120,
08.05.11,Лиственные деревья,Дуб,100,
08.05.11,Сорняки,Подорожник,260,
07.05.11,Лиственные деревья,Ольха,20,
07.05.11,Лиственные деревья,Орешник,60,
07.05.11,Лиственные деревья,Тополь,100,
07.05.11,Лиственные деревья,Береза,80,
07.05.11,Лиственные деревья,Ясень,10,
07.05.11,Лиственные деревья,Ива,10,
07.05.11,Лиственные деревья,Дуб,2,
07.05.11,Сорняки,Подорожник,40,
07.05.11,Сорняки,Щавель,10,
07.05.11,Лиственные деревья,--Название--,0,
06.05.11,Лиственные деревья,Ольха,20,
06.05.11,Лиственные деревья,Тополь,60,
06.05.11,Лиственные деревья,Береза,300,
06.05.11,Лиственные деревья,Вяз,100,
06.05.11,Лиственные деревья,Ива,100,
06.05.11,Лиственные деревья,Дуб,20,
06.05.11,Сорняки,Подорожник,500,
06.05.11,Сорняки,Щавель,100,
06.05.11,Лиственные деревья,--Название--,0,
06.05.11,Лиственные деревья,--Название--,0,
06.05.11,Лиственные деревья,--Название--,0,
05.05.11,Лиственные деревья,Ольха,20,цветение заканчивается
05.05.11,Лиственные деревья,Тополь,20,
05.05.11,Лиственные деревья,Береза,200,
05.05.11,Лиственные деревья,Вяз,40,
05.05.11,Лиственные деревья,Ива,100,
05.05.11,Сорняки,Подорожник,300,
05.05.11,Сорняки,Щавель,60,
05.05.11,Лиственные деревья,--Название--,0,
24.09.10,Сорняки,Полынь,30,
24.09.10,Сорняки,Амброзия,310,
24.09.10,Грибы,Кладоспориум,4500,
24.09.10,Грибы,Альтернария,2300,
17.09.10,Сорняки,Крапива,10,
17.09.10,Сорняки,Полынь,310,
17.09.10,Сорняки,Амброзия,450,
17.09.10,Грибы,Кладоспориум,1450,
17.09.10,Грибы,Альтернария,710,
10.09.10,Сорняки,Маревые,20,
10.09.10,Сорняки,Подорожник,50,
10.09.10,Сорняки,Крапива,80,
10.09.10,Сорняки,Полынь,460,
10.09.10,Сорняки,Амброзия,810,
10.09.10,Грибы,Кладоспориум,2560,
10.09.10,Грибы,Альтернария,410,
03.09.10,Сорняки,Маревые,10,
03.09.10,Сорняки,Крапива,24,
03.09.10,Сорняки,Полынь,640,
03.09.10,Сорняки,Амброзия,1400,
03.09.10,Грибы,Кладоспориум,780,
03.09.10,Грибы,Альтернария,230,
01.09.10,Сорняки,Полынь,1600,
01.09.10,Сорняки,Амброзия,1390,
30.08.10,Сорняки,Маревые,270,
30.08.10,Сорняки,Крапива,450,
30.08.10,Сорняки,Полынь,980,
30.08.10,Сорняки,Амброзия,1270,
30.08.10,Грибы,Кладоспориум,560,
30.08.10,Грибы,Альтернария,370,
27.08.10,Сорняки,Маревые,24,
27.08.10,Сорняки,Крапива,130,
27.08.10,Сорняки,Полынь,1200,
27.08.10,Сорняки,Амброзия,1340,
27.08.10,Грибы,Кладоспориум,890,
27.08.10,Грибы,Альтернария,340,
24.08.10,Злаки,Злаки,120,
24.08.10,Сорняки,Маревые,40,
24.08.10,Сорняки,Подорожник,18,
24.08.10,Сорняки,Крапива,78,
24.08.10,Сорняки,Полынь,370,
24.08.10,Сорняки,Амброзия,4500,
24.08.10,Грибы,Кладоспориум,1200,
24.08.10,Грибы,Альтернария,820,
20.08.10,Злаки,Злаки,70,
20.08.10,Сорняки,Подорожник,50,
20.08.10,Сорняки,Щавель,10,
20.08.10,Сорняки,Крапива,77,
20.08.10,Сорняки,Полынь,680,
20.08.10,Грибы,Кладоспориум,2360,
20.08.10,Грибы,Альтернария,0,
16.08.10,Злаки,Злаки,250,
16.08.10,Сорняки,Маревые,186,
16.08.10,Сорняки,Подорожник,210,
16.08.10,Сорняки,Крапива,120,
16.08.10,Сорняки,Полынь,810,
16.08.10,Сорняки,Амброзия,1560,
09.08.10,Злаки,Злаки,210,
09.08.10,Сорняки,Полынь,350,
09.08.10,Сорняки,Амброзия,530,
06.08.10,Злаки,Злаки,238,
06.08.10,Сорняки,Маревые,469,
06.08.10,Сорняки,Подорожник,45,
06.08.10,Сорняки,Щавель,67,
06.08.10,Сорняки,Крапива,78,
06.08.10,Сорняки,Полынь,1140,
06.08.10,Сорняки,Амброзия,1300,
06.08.10,Грибы,Кладоспориум,250,
06.08.10,Грибы,Альтернария,20,
02.08.10,Злаки,Злаки,680,
02.08.10,Сорняки,Маревые,230,
02.08.10,Сорняки,Подорожник,40,
02.08.10,Сорняки,Щавель,20,
02.08.10,Сорняки,Крапива,196,
02.08.10,Сорняки,Полынь,780,
02.08.10,Сорняки,Амброзия,890,
02.08.10,Грибы,Кладоспориум,340,
02.08.10,Грибы,Альтернария,240,
29.07.10,Злаки,Злаки,230,
29.07.10,Сорняки,Маревые,480,
29.07.10,Сорняки,Подорожник,80,
29.07.10,Сорняки,Щавель,20,
29.07.10,Сорняки,Крапива,130,
29.07.10,Сорняки,Полынь,1320,
29.07.10,Сорняки,Амброзия,640,
29.07.10,Грибы,Кладоспориум,580,
29.07.10,Грибы,Альтернария,410,
26.07.10,Злаки,Злаки,120,
26.07.10,Сорняки,Маревые,60,
26.07.10,Сорняки,Подорожник,10,Заканчивается цветение
26.07.10,Сорняки,Крапива,200,
26.07.10,Сорняки,Полынь,340,
26.07.10,Грибы,Кладоспориум,800,
26.07.10,Грибы,Альтернария,580,
20.07.10,Злаки,Злаки,570,
20.07.10,Сорняки,Маревые,120,
20.07.10,Сорняки,Подорожник,56,
20.07.10,Сорняки,Щавель,113,
20.07.10,Сорняки,Крапива,84,
20.07.10,Сорняки,Полынь,2890,Концентрация увеличивается
